"x","y","pwprob"
"G_14","G_49",0.576125
"G_14","G_50",0.137875
"G_14","G_51",0.412125
"G_14","G_52",0.4755
"G_14","G_54",0.79875
"G_14","G_56",0.79875
"G_14","G_57",0.896625
"G_14","G_59",0.8385
"G_14","G_60",0.823125
"G_14","G_61",0.876625
"G_14","G_62",0.85325
"G_14","G_63",0.585875
"G_14","G_64",0.708
"G_14","G_65",0.849375
"G_14","G_66",0.87325
"G_14","G_67",0.866625
"G_14","G_68",0.662
"G_14","G_69",0.840375
"G_14","G_70",0.772
"G_14","G_71",0.704
"G_14","G_72",0.762875
"G_14","G_73",0.34475
"G_14","G_74",0.855125
"G_14","G_75",0.844375
"G_14","G_77",0.842625
"G_14","G_78",0.792875
"G_14","G_82",0.846875
"G_14","G_83",0.83725
"G_14","G_84",0.788
"G_14","G_85",0.853125
"G_14","G_86",0.88375
"G_14","G_87",0.873875
"G_14","G_88",0.83525
"G_14","G_89",0.524375
"G_14","G_90",0.802125
"G_14","G_91",0.7015
"G_14","G_92",0.8945
"G_14","G_93",0.11775
"G_14","G_97",0.864875
"G_14","G_98",0.796
"G_15","G_16",0.09675
"G_15","G_17",0.074375
"G_15","G_18",0.112
"G_15","G_19",0.14175
"G_15","G_20",0.069375
"G_15","G_21",0.098875
"G_15","G_22",0.71275
"G_15","G_23",0.84425
"G_15","G_24",0.4145
"G_15","G_25",0.065
"G_15","G_26",0.09275
"G_15","G_27",0.0815
"G_15","G_28",0.070125
"G_15","G_29",0.113375
"G_15","G_30",0.066
"G_15","G_31",0.08225
"G_15","G_32",0.06725
"G_15","G_34",0.077125
"G_15","G_35",0.0625
"G_15","G_36",0.072125
"G_15","G_37",0.185875
"G_15","G_38",0.0895
"G_15","G_39",0.1115
"G_15","G_40",0.080125
"G_15","G_41",0.069125
"G_15","G_42",0.075375
"G_15","G_43",0.093375
"G_15","G_44",0.078625
"G_15","G_45",0.08525
"G_15","G_46",0.063375
"G_15","G_47",0.07425
"G_15","G_48",0.1185
"G_15","G_49",0.091125
"G_15","G_50",0.08825
"G_15","G_51",0.1045
"G_15","G_52",0.092375
"G_15","G_54",0.095625
"G_15","G_56",0.091875
"G_15","G_57",0.219625
"G_15","G_59",0.23875
"G_15","G_60",0.235
"G_15","G_61",0.726875
"G_15","G_62",0.129625
"G_15","G_63",0.11175
"G_15","G_64",0.0945
"G_15","G_65",0.115625
"G_15","G_66",0.18525
"G_15","G_67",0.236625
"G_15","G_68",0.078375
"G_15","G_69",0.107125
"G_15","G_70",0.087
"G_15","G_71",0.084
"G_15","G_72",0.08975
"G_15","G_73",0.10275
"G_15","G_74",0.54025
"G_15","G_75",0.12775
"G_15","G_77",0.297875
"G_15","G_78",0.240375
"G_15","G_82",0.346375
"G_15","G_83",0.826625
"G_15","G_84",0.180625
"G_15","G_85",0.305625
"G_15","G_86",0.68975
"G_15","G_87",0.8425
